Generation,Min Execution Time (ms),Avg Execution Time (ms),Median Execution Time (ms),Variance Execution Time (ms),Range Execution Time (ms),Improvement Time (%)
0,0.0015999976312741637,0.002171999622078147,0.0019499984773574397,9.572157257471575e-07,0.006300000677583739,85.32112173912753
1,0.0013999997463542968,0.0018319998343940824,0.0017000002117129043,2.71576222528958e-07,0.0047000030463095754,87.15596483375938
2,0.0013999997463542968,0.008119999911286868,0.004800000169780105,4.3583803868876974e-05,0.01590000101714395,87.15596483375938
3,0.0013999997463542968,0.0024109999503707513,0.0017000020307023078,5.5053792672230815e-06,0.013600001693703234,87.15596483375938
4,0.0013999997463542968,0.0019410000822972506,0.0017999991541728377,4.3281930235015605e-07,0.005600002623395994,87.15596483375938
5,0.0013999997463542968,0.001938000277732499,0.0018999999156221747,4.123559732568575e-07,0.006199999916134402,87.15596483375938
6,0.0015000005078036338,0.0025430000096093863,0.0017000020307023078,8.780248986868528e-06,0.022899996110936627,86.23852659846624
7,0.0015000005078036338,0.0018900002032751217,0.0017000020307023078,4.808998584896177e-07,0.005999998393235728,86.23852659846624
8,0.0010000003385357559,0.0014310002370621078,0.0012000018614344299,3.5033925545526904e-07,0.005600002623395994,90.82568439897749
9,0.0009999967005569488,0.001281000040762592,0.0011999982234556228,2.977390760684277e-07,0.005200003215577453,90.82571777493193
10,0.0009999967005569488,0.0020999998741899617,0.0015000005078036338,3.2164402684033625e-05,0.05710000550607219,90.82571777493193
11,0.0009999967005569488,0.0015399995754705742,0.0015499990695388988,4.0140013644639875e-07,0.005600002623395994,90.82571777493193
12,0.0008999995770864189,0.0014129999181022868,0.0011999982234556228,3.909314655220681e-07,0.0037000027077738196,91.74312263427063
13,0.0009999967005569488,0.0016009997852961533,0.0015999976312741637,4.970989480964787e-07,0.006199999916134402,90.82571777493193
14,0.0007999988156370819,0.0012609997065737844,0.0011000010999850929,2.58378845182764e-07,0.004499997885432094,92.66056086956377
15,0.000800002453615889,0.0014729996109963395,0.0013000008038943633,3.889710946481879e-07,0.004499997885432094,92.66052749360934
16,0.0007999988156370819,0.0012849999257014133,0.0011000010999850929,2.910749751639536e-07,0.004400000761961564,92.66056086956377
17,0.0007999988156370819,0.0011049999739043415,0.0010000003385357559,9.947502770007211e-08,0.0026000016077887267,92.66056086956377
18,0.0007999988156370819,0.0010260000635753386,0.0010000003385357559,5.812395661394614e-08,0.0016000012692529708,92.66056086956377
19,0.0007999988156370819,0.0013660002514370717,0.0012999989849049598,4.070440371523847e-07,0.004900000931229442,92.66056086956377
20,0.0007999988156370819,0.0015270000221789815,0.0012999989849049598,1.3161707959087976e-06,0.010100000508828089,92.66056086956377
21,0.0007999988156370819,0.0014160001228447072,0.0012999989849049598,3.843442861914514e-07,0.0044000043999403715,92.66056086956377
22,0.0007999988156370819,0.0011210002412553877,0.0010000003385357559,1.9225909669171506e-07,0.0037000027077738196,92.66056086956377
23,0.0007999988156370819,0.0010519997886149213,0.0009000013960758224,1.8429612559908952e-07,0.0032000025385059416,92.66056086956377
24,0.0007999988156370819,0.0014289998580352403,0.0012999989849049598,5.47659219379143e-07,0.004300000000512227,92.66056086956377
25,0.0007999988156370819,0.001667999786150176,0.0013999997463542968,2.3819757235822775e-06,0.014400000509340316,92.66056086956377
26,0.0007999988156370819,0.0011129997074021958,0.0010999992809956893,8.71311578907326e-08,0.0018000027921516448,92.66056086956377
27,0.0007999988156370819,0.0014379997446667403,0.0012999989849049598,4.777562692859678e-07,0.0042000028770416975,92.66056086956377
28,0.0007999988156370819,0.0013769998258794658,0.0013999997463542968,2.919712526352814e-07,0.0027999994927085936,92.66056086956377
29,0.0007999988156370819,0.0010759996075648814,0.0010000003385357559,1.0102410775083398e-07,0.0021999985619913787,92.66056086956377
30,0.0007999988156370819,0.0011399996219552122,0.0010499989002710208,1.5600008088666042e-07,0.0022999993234407157,92.66056086956377
31,0.0007999988156370819,0.0013089998537907377,0.0013000026228837669,2.1161930523131547e-07,0.0032000025385059416,92.66056086956377
32,0.0007999988156370819,0.0010299998029950075,0.0008999995770864189,1.3790018868493125e-07,0.0031000017770566046,92.66056086956377
33,0.0007999988156370819,0.0009749999662744813,0.0008999995770864189,9.907513183912368e-08,0.0027000023692380637,92.66056086956377
34,0.0007999988156370819,0.0009779995889402926,0.0008999995770864189,1.0291611560879266e-07,0.0027000023692380637,92.66056086956377
35,0.0007999988156370819,0.0012019996938761324,0.0008999995770864189,3.0699635477622427e-07,0.0035000011848751456,92.66056086956377
36,0.0006999980541877449,0.0010339997243136168,0.0008999995770864189,1.2644412234276666e-07,0.0026000016077887267,93.5779991048569
37,0.0007999988156370819,0.0014029995872988366,0.0012999989849049598,6.77091409924491e-07,0.007000002369750291,92.66056086956377
38,0.0007999988156370819,0.0014249997184379026,0.0012999989849049598,6.236756467379354e-07,0.006000002031214535,92.66056086956377
39,0.0007999988156370819,0.0012399995466694236,0.0011000010999850929,4.810002005266433e-07,0.005900001269765198,92.66056086956377
40,0.0007999988156370819,0.001037999609252438,0.0008999995770864189,2.2075622333474793e-07,0.0039000005926936865,92.66056086956377
41,0.0007999988156370819,0.0013219994070823304,0.0013000026228837669,3.5011620571045975e-07,0.0035999983083456755,92.66056086956377
